web-scraper-order,web-scraper-start-url,Prix,Nom,Adresse,Image,Image-href
"1752751733-320,""https://sn.coinafrique.com/categorie/chiens?page=7"",""165 000CFA"",""Chiot bichon maltais"",""Sicap Liberté, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiot-bichon-maltais-3303737"""
"1752751733-321,""https://sn.coinafrique.com/categorie/chiens?page=7"",""Prix sur demande"",""Chiots croisés husky golde"",""Thies, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiots-croises-husky-golde-3303734"""
"1752751733-322,""https://sn.coinafrique.com/categorie/chiens?page=7"",""450 000CFA"",""Chiots Boerboels"",""Thies, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiots-boerboels-3301357"""
"1752751733-323,""https://sn.coinafrique.com/categorie/chiens?page=7"",""100 000CFA"",""Chiot Berger Allemand"",""Keur Massar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-3291944"""
"1752751733-324,""https://sn.coinafrique.com/categorie/chiens?page=7"",""135 000CFA"",""Chiots Berger Allemand"",""Mbour, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-3289564"""
"1752751733-325,""https://sn.coinafrique.com/categorie/chiens?page=7"",""200 000CFA"",""Chien"",""Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chien-3287244"""
"1752751733-326,""https://sn.coinafrique.com/categorie/chiens?page=7"",""155 000CFA"",""Chiots bichon"",""Sicap Liberté, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiots-bichon-3285176"""
"1752751733-327,""https://sn.coinafrique.com/categorie/chiens?page=7"",""100 000CFA"",""Chiots berger allemand malinois"",""Keur Massar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-malinois-3277097"""
"1752751733-328,""https://sn.coinafrique.com/categorie/chiens?page=7"",""250 000CFA"",""Berger allemand"",""Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/berger-allemand-3275523"""
"1752751733-329,""https://sn.coinafrique.com/categorie/chiens?page=7"",""130 000CFA"",""Chien berger allemand"",""Yoff, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chien-berger-allemand-3270823"""
"1752751733-330,""https://sn.coinafrique.com/categorie/chiens?page=7"",""Prix sur demande"",""Chiot Labrador"",""Sicap Liberté, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiot-labrador-3267297"""
"1752751733-331,""https://sn.coinafrique.com/categorie/chiens?page=7"",""Prix sur demande"",""Chiot Labrador"",""Sicap Liberté, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiot-labrador-3252408"""
"1752751733-332,""https://sn.coinafrique.com/categorie/chiens?page=7"",""Prix sur demande"",""Chiot Labrador"",""Sicap Liberté, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiot-labrador-3247804"""
"1752751733-333,""https://sn.coinafrique.com/categorie/chiens?page=7"",""50 000CFA"",""Chiot"",""Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiot-3244351"""
"1752751733-334,""https://sn.coinafrique.com/categorie/chiens?page=7"",""150 000CFA"",""Chiots malinois"",""Mbao, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiots-malinois-3241866"""
"1752751741-335,""https://sn.coinafrique.com/categorie/chiens?page=6"",""120 000CFA"",""Chiots métisse malinois et berger belge"",""Diamniadio, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-metisse-malinois-et-berger-belge-3899662"""
"1752751741-336,""https://sn.coinafrique.com/categorie/chiens?page=6"",""Prix sur demande"",""Chiots  Bichon"",""Mbao, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-bichon-3897557"""
"1752751741-337,""https://sn.coinafrique.com/categorie/chiens?page=6"",""135 000CFA"",""Chiots  Berger Allemand"",""Keur Massar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-3895930"""
"1752751741-338,""https://sn.coinafrique.com/categorie/chiens?page=6"",""400 000CFA"",""Chiots Pinschers toy"",""Sacré-Coeur, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-pinschers-toy-3893750"""
"1752751741-339,""https://sn.coinafrique.com/categorie/chiens?page=6"",""500 000CFA"",""Chiots Bulldogs français"",""Sacré-Coeur, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-bulldogs-francais-3893742"""
"1752751741-340,""https://sn.coinafrique.com/categorie/chiens?page=6"",""500 000CFA"",""Chiots Bulldogs français"",""Sacré-Coeur, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-bulldogs-francais-3893728"""
"1752751741-341,""https://sn.coinafrique.com/categorie/chiens?page=6"",""150 000CFA"",""Chiots Berger Allemand"",""Mamelles, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-3890175"""
"1752751741-342,""https://sn.coinafrique.com/categorie/chiens?page=6"",""550 000CFA"",""Chiot femelle boerboel"",""Thies, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiot-femelle-boerboel-3874975"""
"1752751741-343,""https://sn.coinafrique.com/categorie/chiens?page=6"",""300 000CFA"",""Chiot Berger Malinois femelle"",""Yoff, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiot-berger-malinois-femelle-3874592"""
"1752751741-344,""https://sn.coinafrique.com/categorie/chiens?page=6"",""Prix sur demande"",""Chiot Yorkshire Toy"",""Fann-Point E-Amitié, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiot-yorkshire-toy-3868293"""
"1752751741-345,""https://sn.coinafrique.com/categorie/chiens?page=6"",""400 000CFA"",""Chienne Cane Corso"",""Toubab Dialao, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chienne-cane-corso-3867600"""
"1752751741-346,""https://sn.coinafrique.com/categorie/chiens?page=6"",""250 000CFA"",""Chiot malinois"",""Toubab Dialao, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiot-malinois-3867595"""
"1752751741-347,""https://sn.coinafrique.com/categorie/chiens?page=6"",""Prix sur demande"",""Chiot berger"",""Mbao, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiot-berger-3865651"""
"1752751741-348,""https://sn.coinafrique.com/categorie/chiens?page=6"",""Prix sur demande"",""Bichon maltais"",""Mbao, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/bichon-maltais-3865643"""
"1752751741-349,""https://sn.coinafrique.com/categorie/chiens?page=6"",""200 000CFA"",""Caniche bichon"",""Sicap Liberté, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/caniche-bichon-3861980"""
"1752751741-350,""https://sn.coinafrique.com/categorie/chiens?page=6"",""150 000CFA"",""Chiot berger allemand"",""Ngaparou, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-3858177"""
"1752751741-351,""https://sn.coinafrique.com/categorie/chiens?page=6"",""250 000CFA"",""Chiots Berger Malinois"",""Rufisque, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-berger-malinois-3847815"""
"1752751741-352,""https://sn.coinafrique.com/categorie/chiens?page=6"",""400 000CFA"",""Chiot Husky"",""Sicap Liberté, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiot-husky-3842536"""
"1752751741-353,""https://sn.coinafrique.com/categorie/chiens?page=6"",""150 000CFA"",""Chiot pitbull"",""Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiot-pitbull-3834868"""
"1752751741-354,""https://sn.coinafrique.com/categorie/chiens?page=6"",""150 000CFA"",""Pitbull"",""Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/pitbull-3834863"""
"1752751741-355,""https://sn.coinafrique.com/categorie/chiens?page=6"",""390 000CFA"",""Chiot  Husky"",""Mamelles, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiot-husky-3833295"""
"1752751741-356,""https://sn.coinafrique.com/categorie/chiens?page=6"",""210 000CFA"",""Chiot   Bichon"",""Mamelles, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiot-bichon-3833288"""
"1752751741-357,""https://sn.coinafrique.com/categorie/chiens?page=6"",""150 000CFA"",""Chiots"",""Point E, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-3832175"""
"1752751741-358,""https://sn.coinafrique.com/categorie/chiens?page=6"",""360 000CFA"",""Chiots Bichons Maltais"",""Keur Massar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-bichons-maltais-3830263"""
"1752751741-359,""https://sn.coinafrique.com/categorie/chiens?page=6"",""Prix sur demande"",""Chiot pittbull mâle"",""Sicap Liberté, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiot-pittbull-male-3828012"""
"1752751741-360,""https://sn.coinafrique.com/categorie/chiens?page=6"",""Prix sur demande"",""Chiot Husky"",""Sicap Liberté, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiot-husky-3828001"""
"1752751741-361,""https://sn.coinafrique.com/categorie/chiens?page=6"",""600 000CFA"",""Husky Sibérien"",""Diamalaye 1, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/husky-siberien-3826391"""
"1752751741-362,""https://sn.coinafrique.com/categorie/chiens?page=6"",""250 000CFA"",""Chiot bichon"",""Keur Massar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiot-bichon-3812064"""
"1752751741-363,""https://sn.coinafrique.com/categorie/chiens?page=6"",""200 000CFA"",""Chiot Berger Allemand"",""Ngaparou, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-3807360"""
"1752751741-364,""https://sn.coinafrique.com/categorie/chiens?page=6"",""100 000CFA"",""Pit bull terrier"",""Mbao, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/pit-bull-terrier-3807116"""
"1752751741-365,""https://sn.coinafrique.com/categorie/chiens?page=6"",""Prix sur demande"",""Chienne Husky"",""Sicap Liberté, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chienne-husky-3804084"""
"1752751741-366,""https://sn.coinafrique.com/categorie/chiens?page=6"",""Prix sur demande"",""Chiot Samoyede"",""Fann-Point E-Amitié, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiot-samoyede-3799036"""
"1752751741-367,""https://sn.coinafrique.com/categorie/chiens?page=6"",""100 000CFA"",""Chiot"",""Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiot-3798734"""
"1752751741-368,""https://sn.coinafrique.com/categorie/chiens?page=6"",""100 000CFA"",""Chiots métisses"",""Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-metisses-3796617"""
"1752751741-369,""https://sn.coinafrique.com/categorie/chiens?page=6"",""100 000CFA"",""Chiens"",""Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiens-3796612"""
"1752751741-370,""https://sn.coinafrique.com/categorie/chiens?page=6"",""200 000CFA"",""Chiots"",""Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-3795668"""
"1752751741-371,""https://sn.coinafrique.com/categorie/chiens?page=6"",""700 000CFA"",""Chiots bulldog français"",""Mermoz-Sacré Coeur, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiots-bulldog-francais-3788228"""
"1752751741-372,""https://sn.coinafrique.com/categorie/chiens?page=6"",""200 000CFA"",""Pit Bull"",""Mbao, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/pit-bull-3783830"""
"1752751741-373,""https://sn.coinafrique.com/categorie/chiens?page=6"",""200 000CFA"",""Pitbull"",""Mbao, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/pitbull-3782217"""
"1752751741-374,""https://sn.coinafrique.com/categorie/chiens?page=6"",""150 000CFA"",""Chiot bichon maltais"",""Gueule Tapée, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiot-bichon-maltais-3778149"""
"1752751741-375,""https://sn.coinafrique.com/categorie/chiens?page=6"",""125 000CFA"",""Chiot pitbull"",""Mariste, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiot-pitbull-3765560"""
"1752751741-376,""https://sn.coinafrique.com/categorie/chiens?page=6"",""Prix sur demande"",""Chiot"",""Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiot-3764064"""
"1752751741-377,""https://sn.coinafrique.com/categorie/chiens?page=6"",""300 000CFA"",""Chiots métissés berger allemand"",""Mbour, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiots-metisses-berger-allemand-3763206"""
"1752751741-378,""https://sn.coinafrique.com/categorie/chiens?page=6"",""350 000CFA"",""Husky de Sibérie"",""Mboro, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/husky-de-siberie-3760923"""
"1752751741-379,""https://sn.coinafrique.com/categorie/chiens?page=6"",""Prix sur demande"",""Chiots Boerboel"",""Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiots-boerboel-3757511"""
"1752751741-380,""https://sn.coinafrique.com/categorie/chiens?page=6"",""350 000CFA"",""Chiot Labrador"",""Guediawaye, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiot-labrador-3756515"""
"1752751741-381,""https://sn.coinafrique.com/categorie/chiens?page=6"",""275 000CFA"",""Caniche Bichon"",""Gueule Tapée, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/caniche-bichon-3745475"""
"1752751741-382,""https://sn.coinafrique.com/categorie/chiens?page=6"",""Prix sur demande"",""Chiots Pittbull"",""Sicap Liberté, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiots-pittbull-3742224"""
"1752751741-383,""https://sn.coinafrique.com/categorie/chiens?page=6"",""Prix sur demande"",""Chiot Pittbull"",""Sicap Liberté, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiot-pittbull-3742171"""
"1752751741-384,""https://sn.coinafrique.com/categorie/chiens?page=6"",""Prix sur demande"",""Chiuawa toy"",""Fann-Point E-Amitié, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiuawa-toy-3740587"""
"1752751741-385,""https://sn.coinafrique.com/categorie/chiens?page=6"",""Prix sur demande"",""Yorkshire toy terrier"",""Fann-Point E-Amitié, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/yorkshire-toy-terrier-3740585"""
"1752751741-386,""https://sn.coinafrique.com/categorie/chiens?page=6"",""Prix sur demande"",""Bulldog français"",""Fann-Point E-Amitié, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/bulldog-francais-3740584"""
"1752751741-387,""https://sn.coinafrique.com/categorie/chiens?page=6"",""Prix sur demande"",""Chiot Spitz"",""Fann-Point E-Amitié, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiot-spitz-3734409"""
"1752751741-388,""https://sn.coinafrique.com/categorie/chiens?page=6"",""200 000CFA"",""Chien malinois"",""HLM, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chien-malinois-3722963"""
"1752751741-389,""https://sn.coinafrique.com/categorie/chiens?page=6"",""Prix sur demande"",""Chiot malinois"",""Mbour, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiot-malinois-3712064"""
"1752751741-390,""https://sn.coinafrique.com/categorie/chiens?page=6"",""500 000CFA"",""Chien Pitbull"",""Pout, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chien-pitbull-3702631"""
"1752751741-391,""https://sn.coinafrique.com/categorie/chiens?page=6"",""95 000CFA"",""Bichon malte"",""Sicap Liberté, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/bichon-malte-3701821"""
"1752751741-392,""https://sn.coinafrique.com/categorie/chiens?page=6"",""250 000CFA"",""Chiot bergers allemands"",""Thies, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiot-bergers-allemands-3698110"""
"1752751741-393,""https://sn.coinafrique.com/categorie/chiens?page=6"",""350 000CFA"",""Rottweiler royal  femelle"",""Toubab Dialao, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/rottweiler-royal-femelle-3696751"""
